conv_id,utt_id,speaker,text,tokens,lang_tags,etymon_tags,token_role_tags,utt_matrix_lang,cs_type
conv025,1,A,"Yɛn nso yɛ a-kɔ checkɪ yɛ din a-validatɪ sɛ our name no yɛ correct anaa","Yɛn nso yɛ a kɔ check ɪ yɛ din a validat ɪ sɛ our name no yɛ correct anaa","tw tw tw tw tw en tw tw tw tw en tw tw en en tw tw en tw","tw tw tw tw tw en tw tw tw tw en tw tw en en tw tw en tw","func func func affix cont cont affix func cont affix cont affix func func cont func cont cont func","tw","intra"
conv026,1,A,"ɛ-yɛ 1965 na o-go into business","ɛ yɛ 1965 na o go into business","tw tw oth tw tw en en en","tw tw oth tw tw en en en","func cont sym func func cont func cont","tw","intra"
conv027,1,A,"Obia a o-o-tie me wɔ Asankragua bia n-callɛ","Obia a o o tie me wɔ Asankragua bia n call ɛ","tw tw tw tw tw tw tw oth tw tw en tw","tw tw tw tw tw tw tw oth tw tw en tw","cont func func affix cont func func cont cont affix cont affix","tw","intra"
conv028,1,A,"Sɛ wo yɛ saa a ɛ-bɛ-yɛ PROBLEM","Sɛ wo yɛ saa a ɛ bɛ yɛ PROBLEM","tw tw tw tw tw tw tw tw en","tw tw tw tw tw tw tw tw en","func func cont cont func func affix cont cont","tw","intra"
conv029,1,A,"BUT WOMAN no yɛ SIMPLE","BUT WOMAN no yɛ SIMPLE","en en tw tw en","en en tw tw en","func cont func cont cont","tw","intra"
conv030,1,A,"Wo yɛ SURE sɛ ɔno nkoaa na ɔ yɛ FAMILY MEMBER","Wo yɛ SURE sɛ ɔno nkoaa na ɔ yɛ FAMILY MEMBER","tw tw en tw tw tw tw tw tw en en","tw tw en tw tw tw tw tw tw en en","func cont cont func func func func func cont cont cont","tw","intra"
conv031,1,A,"Me FEEL sɛ ɛ yɛ OF NATIONAL INTEREST","Me FEEL sɛ ɛ yɛ OF NATIONAL INTEREST","tw en tw tw tw en en en","tw en tw tw tw en en en","func cont func func cont func cont cont","tw","intra"
conv032,1,A,"ɛno FIRST SECOND ne VALUE ADDED APPROACH no","ɛno FIRST SECOND ne VALUE ADDED APPROACH no","tw en en tw en en en tw","tw en en tw en en en tw","func cont cont cont cont cont cont func","tw","intra"
conv033,1,A,"ɔ-wo mpaboa black bi ɛ-yɛ fine papa","ɔ wo mpaboa black bi ɛ yɛ fine papa","tw tw tw en tw tw tw en tw","tw tw tw en tw tw tw en tw","func cont cont cont func func cont cont cont","tw","intra"
conv034,1,A,"Saa ne ntoma wine and black no deɛ","Saa ne ntoma wine and black no deɛ","tw tw tw en en en tw tw","tw tw tw en en en tw tw","func func cont cont func cont func func","tw","intra"
conv035,1,A,"Gyaa no ɔ-pɛ neɛma yellow aama","Gyaa no ɔ pɛ neɛma yellow aama","tw tw tw tw tw en tw","tw tw tw tw tw en tw","cont func func cont cont cont cont","tw","intra"
conv036,1,A,"asɛm serious sei na wo-o-kã no wɔ air","asɛm serious sei na wo o kã no wɔ air","tw en tw tw tw tw tw tw tw en","tw en tw tw tw tw tw tw tw en","cont cont cont func func affix cont func cont cont","tw","intra"
conv037,1,A,"Aa hwɛ ne yɛfɔno flat bi wo-bɛ-ka sɛ o-n-nidi","Aa hwɛ ne yɛfɔno flat bi wo bɛ ka sɛ o n nidi","tw tw tw tw en tw tw tw tw tw tw tw tw","tw tw tw tw en tw tw tw tw tw tw tw tw","func cont func cont cont func func affix cont func func affix cont","tw","intra"
conv038,1,A,"na ɔ-ne saa ne friend tenten bi no","na ɔ ne saa ne friend tenten bi no","tw tw tw tw tw en tw tw tw","tw tw tw tw tw en tw tw tw","func func func func func cont cont func func","tw","intra"
conv039,1,A,"wo-n-kae ne brother tietia tuntum yi-a na ɔ-wɔ Temasco yi?","wo n kae ne brother tietia tuntum yi a na ɔ wɔ Temasco yi","tw tw tw tw en tw tw tw tw tw tw tw oth tw","tw tw tw tw en tw tw tw tw tw tw tw oth tw","func affix cont func cont cont cont func affix func func cont cont func","tw","intra"
conv040,1,A,"Daddy me-pɛ tea hot bi a-nom","Daddy me pɛ tea hot bi a nom","en tw tw en en tw tw tw","en tw tw en en tw tw tw","cont func cont cont cont func affix cont","tw","intra"
conv041,1,A,"yɛ shia-a no na o drivo car red bi","yɛ shia a no na o drivo car red bi","tw tw tw tw tw tw en en en tw","tw tw tw tw tw tw en en en tw","func cont affix func func func cont cont cont func","tw","intra"
conv042,1,A,"n-yɛ na wo-de gari a-box-e no fine fine","n yɛ na wo de gari a box e no fine fine","tw tw tw tw tw tw tw en tw tw en en","tw tw tw tw tw tw tw en tw tw en en","affix cont func func cont cont affix cont affix func cont cont","tw","intra"
conv043,1,A,"sɛ ɛ-yɛ wo personal adwuma a, wo-bɛ-yɛ no yie","sɛ ɛ yɛ wo personal adwuma a wo bɛ yɛ no yie","tw tw tw tw en tw tw tw tw tw tw tw","tw tw tw tw en tw tw tw tw tw tw tw","func func cont func cont cont func func affix cont func cont","tw","intra"
conv044,1,A,"ɛ-yɛ local abasobɔ","ɛ yɛ local abasobɔ","tw tw en tw","tw tw en tw","func cont cont cont","tw","intra"
